time,date,year,month,month,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,country,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-21T09:08:34.000Z,2016-05-21,2016,05,2016-05,-25.519,129.891,0,4.2,mb,,,,0.97,us,us10005j49,2016-08-03T22:33:40.040Z,Northern Territory, Australia,earthquake,5.8,1.9,0.186,8,reviewed,aust,us
2016-05-21T08:46:44.620Z,2016-05-21,2016,05,2016-05,-25.5802,129.8082,10,4.4,mb,,95,4.186,0.64,us,us20005yh5,2016-08-03T22:33:40.040Z,Northern Territory, Australia,earthquake,6.5,1.9,0.189,8,reviewed,us,us
2016-05-21T08:46:18.000Z,2016-05-21,2016,05,2016-05,-25.601,129.837,0,4.4,mb,,,,1.15,us,us10005j44,2016-08-03T22:33:40.040Z,Northern Territory, Australia,earthquake,6.5,1.9,0.155,12,reviewed,aust,us
2016-05-21T07:12:31.000Z,2016-05-21,2016,05,2016-05,-25.532,129.838,0,4.2,mb,,,,1.05,us,us10005j3t,2016-08-03T22:33:40.040Z,Northern Territory, Australia,earthquake,8.1,1.9,0.187,8,reviewed,aust,us
2016-05-20T19:06:09.000Z,2016-05-20,2016,05,2016-05,-25.574,129.812,0,4.2,mb,,,,2.12,us,us20005y4t,2016-08-03T22:33:39.040Z,Northern Territory, Australia,earthquake,8.2,5.4,0.2,7,reviewed,aust,us
2016-05-20T18:14:04.670Z,2016-05-20,2016,05,2016-05,-25.5655,129.8841,10,6,mww,,24,1.53,1.33,us,us10005iyk,2018-03-13T01:22:51.756Z,Northern Territory, Australia,earthquake,2.2,1.7,,,reviewed,us,us
2016-04-28T16:52:44.000Z,2016-04-28,2016,04,2016-04,-19.77,133.888,10,4.4,mb,,,,1.92,us,us10005c6s,2016-07-08T02:49:27.040Z,35km WSW of Tennant Creek, Australia,earthquake,4.4,4.8,0.126,19,reviewed,aust,us
2015-12-25T18:40:07.390Z,2015-12-25,2015,12,2015-12,-25.5522,154.145,15.31,4.2,mb,,186,2.775,0.61,us,us10004baa,2016-03-18T01:13:01.040Z,112km ENE of Rainbow Beach, Australia,earthquake,8.6,5.3,0.176,9,reviewed,us,us
2015-11-03T01:07:44.000Z,2015-11-03,2015,11,2015-11,-19.784,133.938,11,4.3,mb,,,,0.68,us,us200041hc,2016-01-30T02:11:04.040Z,31km WSW of Tennant Creek, Australia,earthquake,3.5,5.1,0.16,11,reviewed,aust,us
2015-10-22T20:45:15.480Z,2015-10-22,2015,10,2015-10,-25.4034,154.203,10,4.2,mb,,194,2.823,0.91,us,us2000404r,2016-01-22T23:41:10.040Z,124km ENE of Rainbow Beach, Australia,earthquake,6.6,1.9,0.167,10,reviewed,us,us
2015-10-13T06:54:57.640Z,2015-10-13,2015,10,2015-10,-22.5819,120.8975,11.25,4.3,mb,,55,1.4,1.05,us,us10003n84,2016-01-11T21:07:24.040Z,147km NE of Newman, Australia,earthquake,6.1,5.6,0.168,10,reviewed,us,us
2015-10-07T20:30:12.490Z,2015-10-07,2015,10,2015-10,-17.1882,121.8921,10,4.5,mb,,71,3.686,0.87,us,us10003l09,2016-01-04T22:29:35.040Z,93km NNW of Broome, Australia,earthquake,6.9,1.2,0.131,17,reviewed,us,us
